symbol,Date,signal
LEG,05/01/15,1
MDC,05/06/15,-1
MTH,04/23/15,-1
MHK,05/08/15,1
SODA,05/06/15,1
PHM,04/23/15,-1
NVR,04/21/15,-1
TPX,04/29/15,1
WHR,04/28/15,-1
HAR,04/30/15,-1
HELE,04/29/15,1
ETH,04/24/15,-1
MHO,04/23/15,1
IMAX,04/30/15,1
MPEL,05/07/15,-1
RGR,05/05/15,1
ELY,04/24/15,1
HAS,04/20/15,1
H,05/05/15,-1
LVS,04/23/15,-1
MCD,04/22/15,-1
MGM,05/04/15,1
HOT,04/29/15,1
RCL,04/20/15,1
SIX,04/22/15,-1
PENN,04/23/15,-1
PNRA,04/29/15,-1
CAKE,04/23/15,1
WYN,04/28/15,1
WYNN,04/29/15,-1
YUM,04/22/15,1
BJRI,04/24/15,1
BYD,05/01/15,1
BWLD,04/29/15,-1
CMG,04/22/15,1
CHDN,04/28/15,1
DNKN,04/23/15,1
VAC,04/30/15,1
HABT,05/01/15,1
HLT,04/29/15,-1
STAY,04/30/15,-1
DRII,04/30/15,1
AAN,04/24/15,1
LAD,04/22/15,1
LL,04/29/15,-1
SCSS,04/23/15,1
ABG,04/21/15,1
AN,04/22/15,1
VSI,05/06/15,-1
GNC,04/30/15,-1
TCS,04/28/15,-1
AMZN,04/24/15,-1
AWAY,04/24/15,-1
SFLY,04/30/15,1
EXPE,05/01/15,-1
GRPN,05/06/15,1
TRIP,05/07/15,-1
ZU,05/06/15,1
JD,05/08/15,-1
SALE,05/05/15,1
OSTK,04/28/15,-1
BABA,05/07/15,1
TVPT,05/06/15,-1
ACOR,04/30/15,-1
ALKS,04/30/15,1
IMGN,04/24/15,-1
MDVN,05/08/15,-1
SGEN,05/01/15,-1
AMGN,04/22/15,1
ARIA,05/07/15,-1
VRTX,04/30/15,1
BIIB,04/24/15,-1
BMRN,05/01/15,1
CPHD,04/24/15,1
GILD,05/01/15,1
GHDX,05/06/15,-1
EXEL,05/01/15,1
ACAD,05/08/15,-1
AEGR,05/05/15,1
KERX,05/04/15,1
SGMO,04/23/15,1
EPZM,04/29/15,1
SRPT,05/07/15,-1
DYAX,04/30/15,-1
AET,04/28/15,1
AMED,04/29/15,1
CYH,05/06/15,1
IPCM,04/30/15,-1
LHCG,05/07/15,1
LPNT,05/01/15,1
MGLN,04/30/15,1
SEM,05/01/15,-1
ABC,04/30/15,1
AMSG,05/06/15,1
TMH,05/06/15,1
THC,05/05/15,1
UHS,04/28/15,1
CHE,04/29/15,1
HCA,05/05/15,1
HLS,05/01/15,-1
HWAY,04/24/15,-1
EXAM,05/06/15,-1
AHS,05/08/15,1
MDRX,05/08/15,-1
CPSI,05/01/15,-1
HMSY,05/08/15,-1
MRGE,04/28/15,-1
ATHN,05/01/15,1
OTEX,04/29/15,-1
OMCL,05/01/15,1
HSTM,04/21/15,1
CYOU,04/27/15,1
JAZZ,05/08/15,-1
MRK,04/28/15,1
MYL,05/06/15,-1
BMY,04/28/15,1
LLY,04/23/15,1
PCRX,04/30/15,1
ABBV,04/23/15,1
ZTS,05/05/15,1
LCI,05/07/15,-1
HZNP,05/08/15,-1
ABAX,05/01/15,-1
ABT,04/22/15,1
ALGN,04/24/15,1
ICUI,05/06/15,1
ISRG,04/22/15,-1
IVC,04/23/15,1
NUVA,05/05/15,1
QDEL,04/24/15,-1
NXTM,05/06/15,1
WMGI,04/30/15,-1
EW,04/24/15,1
ELGX,04/30/15,-1
DXCM,04/30/15,-1
HTWR,04/30/15,1
SPNC,04/24/15,-1
ZLTQ,05/06/15,1
CSII,04/30/15,-1
AFFX,04/30/15,1
ILMN,04/22/15,1
LMNX,05/05/15,1
WAT,04/28/15,1
BIO,05/06/15,1
BRKR,05/07/15,1
CRL,04/30/15,-1
PERY,05/14/15,1
RL,05/13/15,1
DECK,05/29/15,1
MOD,05/28/15,-1
LGF,05/22/15,1
DISH,05/11/15,1
BID,05/11/15,1
RRGB,05/19/15,1
PLKI,05/28/15,1
LOCO,05/15/15,-1
ANF,05/28/15,-1
HIBB,05/22/15,-1
LOW,05/20/15,-1
ROST,05/22/15,1
AEO,05/20/15,1
ANN,05/22/15,1
ULTA,05/29/15,1
URBN,05/19/15,-1
BBY,05/21/15,1
